Restaurant_Name,City,Place_Name,Cuisine,Dining_Rating,Delivery_Rating,Dining_Votes,Delivery_Votes,Avg_Price_Restaurant,Restaurant_Popularity
1944 -The HOCCO Kitchen, Ahmedabad,Navrangpura,Shake,4.3,4.3,0,0,356.2837837837838,222
A-One Bombay Biryani, Ahmedabad,Shahibagh,Biryani,3.3,3.5,25,0,163.85714285714286,35
Al Baik Fast Food, Ahmedabad,Lal Darwaja,Sichuan,3.7,4.0,18,0,145.03086419753086,162
Alinea Restaurant & Banquet, Ahmedabad,C G Road,Desserts,3.9,4.0,363,0,235.8653846153846,156
Alpine Restaurant & Banquet, Ahmedabad,Ellis Bridge,Beverages,3.9,4.1,473,0,207.46,150
Amritsar Punjab Paratha, Ahmedabad,Ambavadi,Beverages,3.9,3.7,4,546,214.77586206896552,232
Anand Bhajipav & Pulav Ankurwala, Ahmedabad,Naranpura,Street Food,3.8,4.0,277,0,127.92993630573248,157
Anjoy Latenight Meals, Ahmedabad,Gurukul,Beverages,3.822264031240087,4.0,0,0,267.7607655502392,209
Bole To Vadapav, Ahmedabad,Naranpura,Beverages,3.0,3.6,1,183,40.84745762711864,59
Burger Farm, Ahmedabad,Navrangpura,Beverages,3.4,4.2,5,30,183.28481675392672,191
Cheers, Ahmedabad,C G Road,Ice Cream,4.1,4.3,458,0,135.01967289719627,214
Dangee Dums, Ahmedabad,Paldi,Desserts,3.822264031240087,4.1,0,8,203.0728571428572,56
Das Khaman, Ahmedabad,Astodia,Street Food,3.822264031240087,4.3,0,712,96.8873076923077,26
Day 'N' Night, Ahmedabad,Navrangpura,Street Food,3.5,3.7,384,0,145.30864197530863,243
Dum Safar Biryani, Ahmedabad,Memnagar,Desserts,3.822264031240087,4.3,0,724,663.3594470046083,217
Farki, Ahmedabad,Ashram Road,Desserts,3.8,4.3,1,477,102.54046511627908,129
Fayrouz, Ahmedabad,Prahlad Nagar,Beverages,4.3,4.1,322,0,551.6802507836991,319
Gajanand Pauva House, Ahmedabad,Navrangpura,Shake,3.7,3.9,15,214,111.25,204
Ghar Ka Khana by EatFit, Ahmedabad,Gulbai Tekra,Beverages,3.822264031240087,3.6,0,289,173.41176470588235,85
